x,y,SLOT_STATUS_strict_5_30AM,SLOT_STATUS_soft_5_30AM,SLOT_STATUS_strict_7_00AM,SLOT_STATUS_soft_7_00AM,SLOT_STATUS_strict_6_30PM,SLOT_STATUS_soft_6_30PM,SLOT_STATUS_strict_7_00PM,SLOT_STATUS_soft_7_00PM
84,97,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True
85,97,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True
86,97,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True
87,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
88,97,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
89,97,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
90,97,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
91,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
92,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
93,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
94,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
95,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
96,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
97,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
98,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
99,97,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
0,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,True,True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
1,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,True,True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
2,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
3,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
4,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
5,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
6,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
7,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
8,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
9,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
10,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
11,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True
12,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
13,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
14,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
15,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
16,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
17,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
18,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
19,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
20,98,Fail: fail: rover(heater_needed),True,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
21,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
22,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
23,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
24,98,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,True,True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
25,98,Fail: fail: rover(heater_needed),True,True,True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
26,98,Fail: fail: rover(heater_needed),True,True,True,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
27,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_warm_outlier,Fail: fail: themis_too_warm_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
28,98,Fail: fail: rover(heater_needed),True,Fail: fail: themis_too_warm_outlier,Fail: fail: themis_too_warm_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier,Fail: fail: themis_too_cold_outlier
