x,y,mean_temperature_5_30AM,flag_5_30AM,mean_temperature_6_30PM,flag_6_30PM,mean_temperature_7_00AM,flag_7_00AM,mean_temperature_7_00PM,flag_7_00PM
29,50,186.95927,True,211.7551,True,194.33104,False,210.33755,True
30,50,186.29608,True,211.37584,True,194.28214,False,210.4427,True
31,50,185.65701,True,211.82097,True,194.57436,False,209.36879,True
32,50,185.90306,True,212.32361,True,195.20924,False,209.27567,True
33,50,186.00502,True,211.78181,True,195.69504,False,209.24358,False
34,50,185.44106,True,211.92918,True,195.81483,False,209.37868,True
35,50,184.91422,True,212.42963,True,196.80138,True,208.91309,False
36,50,185.24544,True,212.5973,True,197.5907,True,209.27376,True
37,50,185.88336,True,212.66945,True,198.41893,True,209.80444,True
38,50,186.47188,True,212.34947,True,199.21255,True,210.77715,True
39,50,185.83014,True,212.28178,True,200.54393,True,211.32649,True
40,50,185.77069,True,211.96425,True,202.42006,True,211.42397,True
41,50,185.15482,True,211.96248,True,204.47815,True,210.76201,True
42,50,185.46515,True,211.59735,True,206.05307,True,211.33324,True
43,50,185.12961,True,211.71873,True,204.40926,True,210.65529,True
44,50,185.49745,True,211.8507,True,203.18134,True,210.69305,True
45,50,185.89052,True,211.6523,True,202.6232,True,210.57938,True
46,50,185.88428,True,211.45697,True,202.53513,True,210.6078,True
47,50,185.58197,True,211.22185,True,203.3653,True,211.16649,True
48,50,186.05489,True,210.9779,True,204.65077,True,211.68454,True
49,50,186.21193,True,211.5137,True,205.60666,True,212.53009,True
50,50,185.94452,True,211.28732,True,205.8253,True,212.55258,True
51,50,186.6527,True,211.28316,True,205.35382,True,212.66377,True
52,50,187.05853,True,211.3916,True,204.51767,True,212.54553,True
53,50,187.02748,True,211.60922,True,204.25255,True,212.09665,True
54,50,186.03374,True,211.21243,True,202.802,True,212.18024,True
55,50,185.0239,True,210.55176,True,202.9631,True,212.43594,True
56,50,184.80116,True,210.49767,True,203.20212,True,211.76869,True
57,50,184.31407,False,210.24959,True,204.21721,True,211.392,True
58,50,184.46216,True,210.07257,True,204.53912,True,212.00783,True
59,50,184.45801,True,209.9363,True,204.68147,True,212.07288,True
60,50,184.41641,False,209.92744,True,204.68665,True,211.62949,True
61,50,185.24017,True,210.1352,True,204.48773,True,211.45404,True
62,50,185.6293,True,210.26035,True,204.22995,True,211.80023,True
63,50,185.98058,True,210.34355,True,203.73665,True,211.64203,True
64,50,186.73993,True,210.5919,True,203.1257,True,211.27869,True
65,50,186.82127,True,210.64355,True,202.7372,True,211.20473,True
66,50,186.58354,True,210.31822,True,201.8863,True,212.35725,True
67,50,186.41599,True,210.31308,True,201.46812,True,213.21649,True
68,50,186.52228,True,210.46812,True,201.27872,True,213.11224,True
69,50,186.70485,True,211.0722,True,201.71161,True,212.29762,True
70,50,188.46536,False,211.33194,True,203.19511,True,211.55728,True
71,50,189.31355,False,211.22028,True,205.36865,True,210.87717,True
72,50,188.57944,False,211.10004,True,206.16336,False,211.02414,True
73,50,187.62286,True,211.10818,True,206.33241,False,211.58969,True
74,50,185.97786,True,210.95764,True,204.57338,True,211.89653,True
75,50,185.47514,True,210.97836,True,202.04034,True,212.51105,True
76,50,186.88904,True,211.54474,True,202.63507,True,212.12724,True
77,50,187.96606,True,211.87682,True,203.63373,True,212.152,True
78,50,188.04085,True,211.59236,True,205.60661,True,212.45245,True
79,50,188.08653,True,211.33932,True,205.67253,True,213.10643,True
80,50,187.34149,True,211.24225,True,204.8288,True,213.19981,True
81,50,186.60806,True,210.34877,True,204.07843,True,212.6792,True
82,50,186.39702,True,209.5799,True,203.79497,True,211.96077,True
83,50,185.80145,True,210.29944,True,204.02383,True,211.51688,True
84,50,186.66652,True,210.18704,True,205.3421,True,211.48889,True
85,50,186.57788,True,210.60025,True,206.24664,False,211.05016,True
86,50,186.86562,True,210.68883,True,205.98741,True,210.35799,True
87,50,186.80658,True,210.60954,True,205.85823,True,210.35435,True
88,50,186.49825,True,210.99278,True,205.9295,True,209.95825,True
89,50,186.22513,True,211.15588,True,205.93004,True,209.961,True
90,50,186.28595,True,211.16219,True,205.88316,True,210.20828,True
91,50,186.40387,True,211.67691,True,204.94196,True,210.96167,True
92,50,186.65451,True,210.85112,True,204.79495,True,210.80028,True
93,50,187.06346,True,209.5567,False,204.9594,True,209.96666,True
94,50,187.35147,True,209.14067,False,205.6588,True,209.99583,True
95,50,187.81734,True,208.87744,False,206.84091,False,210.3436,True
96,50,188.14124,True,208.99568,False,207.8246,False,211.04886,True
97,50,187.80453,True,209.26318,False,207.7122,False,211.3424,True
98,50,188.15413,True,209.78296,True,206.04886,True,210.6037,True
99,50,186.53094,True,209.8791,True,200.91473,True,209.11095,False
0,51,184.42274,False,211.45282,True,196.18059,False,211.32574,True
1,51,184.59503,True,210.9953,True,195.75891,False,212.31114,True
2,51,184.54196,True,210.4998,True,196.2101,False,212.87907,True
3,51,184.79524,True,210.10382,True,196.01003,False,212.57358,True
4,51,186.50716,True,210.28581,True,195.897,False,211.50705,True
5,51,187.8892,True,210.47794,True,195.85799,False,211.79631,True
6,51,188.40631,True,210.94148,True,195.7337,False,213.17749,True
7,51,188.17351,True,210.77719,True,195.34778,False,214.01598,True
8,51,188.3148,True,211.04272,True,195.17537,False,213.37227,True
9,51,188.53937,False,211.5107,True,195.5593,False,212.00182,True
10,51,188.98415,False,211.17003,True,194.54654,False,212.5232,True
11,51,189.06366,False,210.49635,True,193.01608,False,212.9136,True
12,51,188.542,False,210.54901,True,193.32425,False,213.4639,True
13,51,188.839,False,210.84866,True,193.33443,False,213.0026,True
14,51,189.83936,False,210.91571,True,193.45212,False,210.91638,True
15,51,189.8195,False,210.56558,True,193.90712,False,209.55287,True
16,51,189.22198,False,210.85075,True,195.61053,False,209.28114,True
17,51,188.31818,True,211.44244,True,196.75813,True,209.15504,False
18,51,188.22388,True,211.64633,True,197.04626,True,209.42955,True
19,51,189.22412,False,211.30952,True,196.19086,False,209.42157,True
20,51,190.41174,False,210.87517,True,195.80916,False,209.28328,True
21,51,190.57957,False,210.43886,True,195.3131,False,209.26952,True
22,51,190.09494,False,210.56361,True,194.4752,False,209.4107,True
23,51,189.9881,False,210.32477,True,194.0833,False,210.26228,True
24,51,188.73354,False,210.39732,True,194.00153,False,210.49982,True
25,51,188.22923,True,210.39171,True,193.23912,False,209.8797,True
26,51,187.67688,True,210.19814,True,192.51198,False,209.30916,True
27,51,186.88148,True,210.17451,True,192.76422,False,208.79555,False
28,51,186.44499,True,211.07611,True,193.06586,False,209.32991,True
29,51,185.97644,True,211.58469,True,193.31212,False,209.18968,False
30,51,184.95807,True,211.95146,True,193.91812,False,209.66206,True
31,51,184.83466,True,212.21541,True,194.5363,False,208.98085,False
32,51,185.72978,True,212.56264,True,195.13812,False,209.21204,False
33,51,185.91873,True,212.41068,True,195.38747,False,209.22534,False
34,51,185.54637,True,212.28192,True,196.28131,False,209.28021,True
35,51,185.01633,True,212.17323,True,197.88712,True,208.79852,False
36,51,185.37714,True,212.39935,True,199.65237,True,208.25467,False
37,51,185.1053,True,212.18698,True,201.08487,True,208.53123,False
38,51,185.33525,True,211.917,True,202.15504,True,208.76176,False
39,51,185.45543,True,211.95726,True,202.49463,True,208.91139,False
40,51,185.6297,True,211.96791,True,203.30328,True,209.49438,True
41,51,184.95981,True,211.73175,True,204.23967,True,209.8471,True
42,51,185.16615,True,212.016,True,204.74669,True,211.30728,True
43,51,185.03354,True,211.9104,True,205.30872,True,211.73871,True
44,51,185.42723,True,211.94417,True,204.4024,True,210.84811,True
45,51,185.17372,True,212.55905,True,203.05696,True,210.49974,True
46,51,185.14716,True,212.35611,True,203.72185,True,210.8677,True
47,51,184.72647,True,212.03944,True,205.86768,True,211.13329,True
48,51,184.48305,True,211.56674,True,206.69568,False,211.26344,True
49,51,184.87091,True,211.70226,True,205.9119,True,211.82945,True
50,51,184.7132,True,211.63422,True,204.86179,True,212.36464,True
51,51,185.649,True,211.54767,True,204.88556,True,212.27399,True
52,51,185.72198,True,212.21315,True,204.82031,True,211.6452,True
53,51,186.39738,True,212.58511,True,204.16048,True,211.70969,True
54,51,186.14986,True,213.06906,False,202.56487,True,211.6041,True
55,51,185.01643,True,213.03638,False,203.86893,True,211.622,True
56,51,183.69902,False,213.32777,False,205.06766,True,211.58461,True
57,51,183.42413,False,213.3819,False,204.63406,True,211.9216,True
58,51,183.35695,False,213.08102,False,204.56886,True,212.25749,True
59,51,183.0985,False,212.86943,True,205.10712,True,212.20988,True
